timeline,Æon
17 Jul 2020,$18.42B
4 Aug 2020,$19.08B
14 Aug 2020,$20.15B
21 Aug 2020,$19.96B
31 Aug 2020,$19.51B
4 Sep 2020,$19.58B
11 Sep 2020,$20.07B
25 Sep 2020,$20.88B
30 Sep 2020,$20.97B
16 Oct 2020,$21.07B
30 Oct 2020,$19.77B
20 Nov 2020,$22.6B
30 Nov 2020,$23.04B
25 Dec 2020,$24.19B
31 Dec 2020,$25.12B
15 Jan 2021,$24.79B
22 Jan 2021,$24.6B
29 Jan 2021,$24.31B
5 Feb 2021,$25B
12 Feb 2021,$25.89B
26 Feb 2021,$23.77B
11 Mar 2021,$23.46B
23 Mar 2021,$23.61B
31 Mar 2021,$24.48B
2 Apr 2021,$24.53B
16 Apr 2021,$23.6B
30 Apr 2021,$22.13B
11 May 2021,$22.31B
17 May 2021,$22.25B
31 May 2021,$21.86B
4 Jun 2021,$22.42B
11 Jun 2021,$21.96B
30 Jun 2021,$22.25B
9 Jul 2021,$21.76B
21 Jul 2021,$22.01B
30 Jul 2021,$22.91B
6 Aug 2021,$23.12B
13 Aug 2021,$23.49B
20 Aug 2021,$23.29B
27 Aug 2021,$22.63B
10 Sep 2021,$24.14B
17 Sep 2021,$23.38B
24 Sep 2021,$23.07B
2 Oct 2021,$21.92B
9 Oct 2021,$20.1B
23 Oct 2021,$19.43B
30 Oct 2021,$19.48B
6 Nov 2021,$20.25B
13 Nov 2021,$20.5B
20 Nov 2021,$20.02B
4 Dec 2021,$20.19B
9 Dec 2021,$20.96B
