timeline,NTT Data
30 Apr 2013,$7.62B
31 May 2013,$8.54B
28 Jun 2013,$8.7B
30 Sep 2013,$8.17B
31 Oct 2013,$8.04B
29 Nov 2013,$9.11B
31 Dec 2013,$9.6B
31 Jan 2014,$9.08B
28 Feb 2014,$10.4B
31 Mar 2014,$9.93B
30 Apr 2014,$9.78B
30 May 2014,$9.15B
30 Jun 2014,$9.62B
31 Jul 2014,$9.77B
29 Aug 2014,$9.22B
30 Sep 2014,$9.77B
31 Oct 2014,$10.55B
28 Nov 2014,$11.2B
31 Dec 2014,$11.17B
27 Feb 2015,$12.2B
31 Mar 2015,$12.93B
30 Apr 2015,$13.3B
29 May 2015,$13.68B
30 Jun 2015,$13.23B
31 Jul 2015,$14.66B
31 Aug 2015,$14.44B
30 Sep 2015,$14.86B
30 Oct 2015,$14.96B
30 Nov 2015,$14.84B
31 Dec 2015,$14.54B
29 Jan 2016,$14.22B
29 Feb 2016,$13.97B
29 Apr 2016,$14.19B
31 May 2016,$14.15B
30 Jun 2016,$11.94B
29 Jul 2016,$12.64B
31 Aug 2016,$13.33B
30 Sep 2016,$12.44B
31 Oct 2016,$13.4B
30 Nov 2016,$14.07B
30 Dec 2016,$13.97B
31 Jan 2017,$14.1B
28 Feb 2017,$13.11B
31 Mar 2017,$13.06B
28 Apr 2017,$12.79B
31 May 2017,$14.76B
30 Jun 2017,$15.46B
31 Jul 2017,$14.87B
31 Aug 2017,$14.69B
29 Sep 2017,$14.89B
31 Oct 2017,$16.28B
30 Nov 2017,$16.33B
29 Dec 2017,$16.56B
31 Jan 2018,$15.86B
28 Feb 2018,$13.75B
30 Mar 2018,$14B
30 Apr 2018,$14.58B
31 May 2018,$15.05B
29 Jun 2018,$15.78B
31 Jul 2018,$15.74B
31 Aug 2018,$17.66B
28 Sep 2018,$19.45B
31 Oct 2018,$18B
30 Nov 2018,$16.32B
31 Dec 2018,$14.9B
31 Jan 2019,$16.02B
28 Feb 2019,$15.05B
29 Mar 2019,$15.1B
30 Apr 2019,$16B
31 May 2019,$16.07B
28 Jun 2019,$17.74B
30 Aug 2019,$16.95B
30 Sep 2019,$17.24B
31 Oct 2019,$17.71B
29 Nov 2019,$18.45B
31 Dec 2019,$18.14B
31 Jan 2020,$19.23B
28 Feb 2020,$15.96B
31 Mar 2020,$12.86B
30 Apr 2020,$13.66B
7 May 2020,$13.42B
29 May 2020,$15.39B
30 Jun 2020,$14.83B
8 Jul 2020,$14.48B
14 Jul 2020,$15.16B
22 Jul 2020,$15.57B
31 Jul 2020,$14.73B
14 Aug 2020,$15.74B
21 Aug 2020,$15.21B
31 Aug 2020,$14.99B
24 Sep 2020,$17.34B
30 Sep 2020,$16.59B
22 Oct 2020,$16.05B
30 Oct 2020,$14.53B
16 Nov 2020,$17.09B
20 Nov 2020,$17.06B
30 Nov 2020,$17.16B
4 Dec 2020,$17.1B
18 Dec 2020,$16.9B
25 Dec 2020,$16.88B
31 Dec 2020,$17.45B
29 Jan 2021,$18.57B
5 Feb 2021,$21.03B
17 Feb 2021,$20.61B
26 Feb 2021,$20.09B
5 Mar 2021,$21.55B
12 Mar 2021,$21.65B
18 Mar 2021,$21.89B
31 Mar 2021,$21.18B
8 Apr 2021,$21.11B
14 Apr 2021,$21.51B
22 Apr 2021,$20.8B
30 Apr 2021,$21B
14 May 2021,$20.9B
20 May 2021,$20.82B
31 May 2021,$22.01B
4 Jun 2021,$21.32B
11 Jun 2021,$21.55B
30 Jun 2021,$21.43B
12 Jul 2021,$21.69B
21 Jul 2021,$21.35B
6 Aug 2021,$22.91B
13 Aug 2021,$22.61B
20 Aug 2021,$23.23B
27 Aug 2021,$24.87B
10 Sep 2021,$28.22B
24 Sep 2021,$27.87B
2 Oct 2021,$26.76B
9 Oct 2021,$26.21B
23 Oct 2021,$27.26B
30 Oct 2021,$28.18B
6 Nov 2021,$29.4B
13 Nov 2021,$30.76B
20 Nov 2021,$31.05B
4 Dec 2021,$29.72B
9 Dec 2021,$30.03B
