会社名,設立年月日,上場年月日,従業員数(単独),従業員数(連結),平均年齢,平均年収
スズキ(株)【7269】,1920年3月15日,1949年5月,-人,"70,419人",40.5歳,"6,650千円"
大和ハウス工業(株)【1925】,1947年3月,1961年9月,"16,609人","49,314人",39.1歳,"8,670千円"
日産自動車(株)【7201】,1933年12月26日,1951年1月,"24,010人","134,885人",41.6歳,"7,960千円"
(株)ニトリホールディングス【9843】,1972年3月3日,1989年9月27日,774人,"18,400人",40.7歳,"8,680千円"
住友商事(株)【8053】,1919年12月24日,1949年8月3日,"5,240人","74,920人",42.7歳,"13,560千円"
(株)ネクソン【3659】,2002年12月18日,2011年12月14日,265人,"6,407人",37.0歳,"5,980千円"
(株)バンダイナムコホールディングス【7832】,2005年9月29日,2005年9月29日,"2,931人","9,806人",‐歳,-千円
(株)東芝【6502】,1904年6月25日,1949年5月,"3,751人","118,131人",45.0歳,"8,660千円"
(株)アドバンテスト【6857】,1954年12月16日,1983年2月9日,"2,056人","5,314人",46.1歳,"9,800千円"
エーザイ(株)【4523】,1941年12月6日,1961年9月,"3,005人","11,237人",43.9歳,"10,420千円"
ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,2008年4月1日,2008年4月1日,411人,"41,219人",47.8歳,"10,740千円"
(株)オービック【4684】,1968年4月8日,1998年12月17日,"1,947人","2,155人",36.4歳,"9,330千円"
味の素(株)【2802】,1925年12月17日,1949年5月,"3,184人","33,461人",44.1歳,"9,970千円"
丸紅(株)【8002】,1949年12月1日,1950年7月,"4,446人",-人,42.2歳,"11,920千円"
楽天グループ(株)【4755】,1997年2月7日,2000年4月19日,"7,390人","23,841人",34.2歳,"7,450千円"
協和キリン(株)【4151】,1949年7月1日,1949年8月,"3,841人","5,700人",42.6歳,"8,770千円"
ＴＤＫ(株)【6762】,1935年12月7日,1961年9月,"5,733人","128,742人",43.5歳,"7,860千円"
豊田通商(株)【8015】,1948年7月1日,1961年10月,"2,692人","64,402人",42.4歳,"11,000千円"
キッコーマン(株)【2801】,1917年12月7日,1949年5月,506人,"7,645人",43.6歳,"7,760千円"
ＳＯＭＰＯホールディングス(株)【8630】,2010年4月1日,2010年4月1日,450人,"48,163人",43.4歳,"11,090千円"
セコム(株)【9735】,1962年7月7日,1974年6月,"16,290人","59,436人",43.2歳,"5,910千円"
日本製鉄(株)【5401】,1950年4月1日,1950年10月,"29,579人","106,226人",37.2歳,"4,940千円"
ＳＧホールディングス(株)【9143】,2006年3月22日,2017年12月13日,229人,"52,900人",37.6歳,"7,040千円"
8421,,,,,,
(株)ＳＵＢＡＲＵ【7270】,1953年7月17日,1960年3月,"16,478人","36,070人",38.9歳,"6,510千円"
積水ハウス(株)【1928】,1960年8月,1970年8月,"15,071人","28,362人",43.0歳,"7,920千円"
キリンホールディングス(株)【2503】,1907年2月23日,1949年5月,"1,133人","29,818人",42.6歳,"8,730千円"
野村ホールディングス(株)【8604】,1925年12月25日,1961年10月,-人,"26,647人",41.9歳,"10,130千円"
旭化成(株)【3407】,1931年5月21日,1949年5月,"8,696人","46,124人",41.5歳,"7,510千円"
ＮＥＣ【6701】,1899年7月17日,1949年5月,"20,589人","114,714人",43.7歳,"8,290千円"
(株)安川電機【6506】,1915年7月,1949年5月,"3,306人","12,925人",42.0歳,"7,640千円"
三井住友トラスト・ホールディングス(株)【8309】,2002年2月1日,2002年1月31日,184人,"22,139人",51.5歳,"12,610千円"
(株)ＩＮＰＥＸ【1605】,2006年4月3日,2006年4月3日,"1,377人","3,153人",39.5歳,"9,070千円"
ＥＮＥＯＳホールディングス(株)【5020】,2010年4月1日,2010年4月1日,818人,"40,753人",44.7歳,"10,350千円"
小野薬品工業(株)【4528】,1947年7月4日,1962年6月,"3,319人","3,607人",42.6歳,"9,370千円"
日本郵船(株)【9101】,1885年9月29日,1949年5月,"1,267人","34,695人",39.9歳,"9,550千円"
(株)マキタ【6586】,1938年12月10日,1962年8月,"3,274人","19,210人",40.5歳,"6,980千円"
ミネベアミツミ(株)【6479】,1951年7月16日,1961年10月,"4,550人","83,519人",44.7歳,"6,890千円"
日本オラクル(株)【4716】,1985年10月15日,1999年2月5日,"2,407人",-人,43.6歳,"10,730千円"
サントリー食品インターナショナル(株)【2587】,2009年1月23日,2013年7月3日,510人,"24,139人",41.3歳,"11,180千円"
(株)日本取引所グループ【8697】,2001年4月1日,2004年4月1日,206人,"1,197人",45.3歳,"10,280千円"
日東電工(株)【6988】,1918年10月25日,1962年8月,"6,017人","25,964人",40.4歳,"7,340千円"
ＡＧＣ(株)【5201】,1950年6月1日,1950年6月,"7,263人","56,430人",43.2歳,"7,950千円"
西日本旅客鉄道(株)【9021】,1987年4月1日,1996年10月8日,"24,124人","48,737人",38.4歳,"6,110千円"
(株)ダイフク【6383】,1937年5月20日,1961年10月,"3,169人","11,874人",42.7歳,"8,460千円"
(株)三菱ケミカルホールディングス【4188】,2005年10月3日,2005年10月1日,201人,"69,607人",45.6歳,"10,110千円"
(株)ディスコ【6146】,1940年3月2日,1989年10月31日,"3,004人","4,238人",38.1歳,"9,650千円"
住友電気工業(株)【5802】,1911年8月,1949年5月,"6,136人","286,784人",41.7歳,"7,780千円"
日本ビルファンド投資法人【8951】,-,2001年9月10日,-人,-人,-歳,-千円
(株)アイシン【7259】,1949年6月1日,1952年7月,"37,162人","117,502人",39.5歳,"6,990千円"
ＧＭＯペイメントゲートウェイ(株)【3769】,1995年3月8日,2005年4月4日,476人,625人,34.3歳,"6,860千円"
(株)ＭｏｎｏｔａＲＯ【3064】,2000年10月19日,2006年12月6日,557人,880人,37.0歳,"5,590千円"
ＡＮＡホールディングス(株)【9202】,1952年12月27日,1961年10月,175人,"46,580人",45.2歳,"5,630千円"
(株)電通グループ【4324】,1906年12月27日,2001年11月30日,193人,"62,661人",46.4歳,"13,410千円"
いすゞ自動車(株)【7202】,1937年4月9日,1949年5月,"8,331人","36,882人",41.3歳,"7,590千円"
東レ(株)【3402】,1926年1月12日,1949年5月,"7,420人","46,267人",39.0歳,"6,710千円"
浜松ホトニクス(株)【6965】,1953年9月29日,1984年8月22日,"3,648人","5,181人",40.3歳,"6,910千円"
(株)パン・パシフィック・インターナショナルホールディングス【7532】,1980年9月5日,1996年12月17日,"2,057人","16,838人",39.7歳,"6,040千円"
(株)メルカリ【4385】,2013年2月1日,2018年6月19日,-人,"1,752人",‐歳,-千円
(株)りそなホールディングス【8308】,2001年12月12日,2001年12月11日,"8,811人","20,712人",40.0歳,"6,620千円"
ローム(株)【6963】,1958年9月17日,1983年11月1日,"3,576人","22,830人",40.9歳,"7,090千円"
(株)ＺＯＺＯ【3092】,2000年4月,2007年12月11日,-人,"1,331人",33.0歳,"5,470千円"
ヤマハ発動機(株)【7272】,1955年7月1日,1961年9月,"10,371人","51,879人",43.3歳,"7,140千円"
ヤマハ(株)【7951】,1897年10月12日,1949年5月,"2,433人","20,144人",44.5歳,"8,840千円"
(株)サイバーエージェント【4751】,1998年3月18日,2000年3月24日,"1,587人","5,958人",33.2歳,"7,330千円"
(株)大塚商会【4768】,1961年12月13日,2000年7月14日,"7,638人","9,340人",41.3歳,"8,430千円"
明治ホールディングス(株)【2269】,2009年4月1日,2009年4月1日,66人,"17,832人",44.1歳,"9,980千円"
(株)大和証券グループ本社【8601】,1943年12月27日,1961年10月,575人,"15,332人",42.1歳,"10,070千円"
日本プロロジスリート投資法人【3283】,-,2013年2月14日,-人,-人,-歳,-千円
イビデン(株)【4062】,1912年11月25日,1949年5月,"3,545人","13,046人",40.9歳,"6,840千円"
日本航空(株)【9201】,1953年10月1日,2012年9月19日,"13,787人","36,060人",39.2歳,"6,780千円"
東急(株)【9005】,1922年9月2日,1949年5月,"1,497人","24,963人",42.6歳,"7,620千円"
日産化学(株)【4021】,1921年4月7日,1949年5月,"1,961人","2,736人",40.0歳,"8,060千円"
関西電力(株)【9503】,1951年5月1日,1951年7月,"8,860人","32,612人",43.1歳,"8,360千円"
トレンドマイクロ(株)【4704】,1989年10月24日,1998年8月18日,798人,"6,972人",39.5歳,"9,210千円"
ＴＯＴＯ(株)【5332】,1917年5月15日,1949年5月,"8,158人","33,800人",43.4歳,"6,690千円"
(株)商船三井【9104】,1884年5月1日,1949年7月,"1,119人","8,571人",37.9歳,"10,260千円"
(株)ヤクルト本社【2267】,1955年4月9日,1980年1月,"2,874人","28,798人",42.3歳,"7,740千円"
ジャパンリアルエステイト投資法人【8952】,-,2001年9月10日,-人,-人,-歳,-千円
日立金属(株)【5486】,1956年4月10日,1961年10月,"6,046人","28,278人",43.4歳,"6,460千円"
伊藤忠テクノソリューションズ(株)【4739】,1979年7月11日,1999年12月14日,"4,590人","9,308人",40.7歳,"9,330千円"
三菱重工業(株)【7011】,1950年1月11日,1950年5月,"14,553人","79,974人",41.3歳,"8,590千円"
中部電力(株)【9502】,1951年5月1日,1951年8月,"3,092人","28,238人",43.6歳,"8,490千円"
(株)神戸物産【3038】,1991年4月,2006年6月8日,460人,"1,372人",38.8歳,"4,840千円"
大東建託(株)【1878】,1974年6月20日,1989年3月17日,"8,447人","17,892人",43.5歳,"7,830千円"
出光興産(株)【5019】,1940年3月30日,2006年10月24日,"5,192人","14,044人",43.1歳,"8,550千円"
住友化学(株)【4005】,1925年6月1日,1949年5月,"6,277人","34,743人",41.0歳,"8,550千円"
東京ガス(株)【9531】,1885年10月1日,1949年5月,"6,067人","16,988人",42.3歳,"6,670千円"
積水化学工業(株)【4204】,1947年3月3日,1953年3月,"2,775人","26,486人",43.0歳,"8,690千円"
ＧＬＰ投資法人【3281】,-,2012年12月21日,-人,-人,-歳,-千円
ＴＩＳ(株)【3626】,2008年4月1日,2008年4月1日,"6,008人","22,487人",40.6歳,"7,170千円"
日清食品ホールディングス(株)【2897】,1948年9月4日,1963年10月,744人,"14,184人",40.4歳,"8,000千円"
ヒューリック(株)【3003】,1931年3月30日,1949年5月,184人,"1,648人",39.4歳,"17,080千円"
(株)光通信【9435】,1988年2月5日,1996年2月27日,-人,"6,646人",35.1歳,"7,380千円"
阪急阪神ホールディングス(株)【9042】,1907年10月19日,1949年5月,187人,"23,192人",42.7歳,"8,640千円"
ウエルシアホールディングス(株)【3141】,2008年9月1日,2008年9月1日,26人,"11,708人",58.3歳,"8,310千円"
(株)コーセー【4922】,1948年6月11日,1999年12月16日,922人,"8,912人",41.7歳,"8,180千円"
シャープ(株)【6753】,1935年5月2日,1949年5月,"5,906人","49,965人",45.7歳,"7,430千円"
小田急電鉄(株)【9007】,1948年6月1日,1949年5月,"3,816人","13,861人",40.3歳,"7,200千円"
(株)Ｔ＆Ｄホールディングス【8795】,2004年4月1日,2004年4月1日,118人,"20,036人",46.1歳,"10,470千円"
大阪ガス(株)【9532】,1897年4月15日,1949年5月,"3,312人","21,256人",43.9歳,"6,540千円"
野村不動産マスターファンド投資法人【3462】,-,2015年10月2日,-人,-人,-歳,-千円
飯田グループホールディングス(株)【3291】,2013年11月1日,2013年11月1日,95人,"10,134人",42.4歳,"7,330千円"
大日本印刷(株)【7912】,1894年1月19日,1949年5月,"10,346人","36,900人",42.8歳,"7,660千円"
(株)スクウェア・エニックス・ホールディングス【9684】,1980年2月5日,1991年2月1日,24人,"5,550人",47.3歳,"14,690千円"
(株)かんぽ生命保険【7181】,2006年9月1日,2015年11月4日,"7,746人","8,400人",39.9歳,"6,400千円"
日立建機(株)【6305】,1970年10月1日,1981年12月17日,"5,526人","24,937人",39.9歳,"7,020千円"
小林製薬(株)【4967】,1919年8月22日,1999年4月20日,"1,589人","3,473人",40.4歳,"6,760千円"
ＳＣＳＫ(株)【9719】,1969年10月25日,1989年2月28日,"8,595人","14,983人",43.5歳,"7,520千円"
(株)コスモス薬品【3349】,1991年4月,2004年11月11日,"4,864人","4,872人",29.9歳,"4,150千円"
朝日インテック(株)【7747】,1976年7月8日,2004年7月1日,925人,"9,409人",36.4歳,"6,130千円"
東京センチュリー(株)【8439】,1969年7月1日,2003年9月18日,929人,"7,559人",43.3歳,"8,560千円"
関西ペイント(株)【4613】,1918年5月17日,1949年5月,"1,516人","15,908人",43.1歳,"8,150千円"
日本マクドナルドホールディングス(株)【2702】,1971年5月1日,2001年7月26日,"2,083人","2,083人",‐歳,-千円
鹿島【1812】,1930年2月22日,1961年10月,"8,255人","19,284人",44.1歳,"11,350千円"
川崎汽船(株)【9107】,1919年4月5日,1950年1月,809人,"5,760人",38.9歳,"9,060千円"
(株)大林組【1802】,1936年12月19日,1958年12月,"9,170人","15,703人",42.6歳,"10,320千円"
近鉄グループホールディングス(株)【9041】,1944年6月1日,1949年5月,277人,"30,343人",45.7歳,"7,210千円"
凸版印刷(株)【7911】,1908年6月4日,1949年5月,"10,730人","52,401人",42.8歳,"6,770千円"
(株)カプコン【9697】,1979年5月30日,1990年10月16日,"3,011人","3,319人",37.1歳,"6,030千円"
日本通運(株)【9062】,1937年10月1日,1950年2月,"35,813人","73,970人",43.7歳,"5,670千円"
(株)ツルハホールディングス【3391】,1963年6月1日,2005年11月16日,105人,"10,822人",45.0歳,"6,540千円"
マツダ(株)【7261】,1920年1月30日,1949年5月,"22,611人","49,786人",41.5歳,"6,280千円"
(株)ローソン【2651】,1975年4月15日,2000年7月26日,"4,752人","10,385人",40.7歳,"6,200千円"
参天製薬(株)【4536】,1925年7月4日,1963年11月,"1,891人","4,260人",43.4歳,"8,260千円"
日本新薬(株)【4516】,1919年10月1日,1949年6月,"1,806人","2,059人",41.0歳,"7,950千円"
東武鉄道(株)【9001】,1897年11月1日,1949年5月,"3,570人","20,077人",46.9歳,"6,690千円"
大日本住友製薬(株)【4506】,1897年5月14日,1949年5月,"3,109人","7,032人",43.1歳,"8,960千円"
アコム(株)【8572】,1978年10月23日,1993年10月1日,"2,182人","5,468人",40.5歳,"6,250千円"
(株)千葉銀行【8331】,1943年3月31日,1970年10月,"3,905人","4,380人",38.5歳,"7,400千円"
(株)日清製粉グループ本社【2002】,1907年3月12日,1949年5月,387人,"9,060人",42.1歳,"8,790千円"
東洋水産(株)【2875】,1948年4月5日,1970年9月,"2,276人","4,880人",40.4歳,"6,130千円"
(株)ワークマン【7564】,1982年8月19日,1997年9月26日,352人,-人,36.9歳,"6,910千円"
日本空港ビルデング(株)【9706】,1953年7月20日,1990年2月8日,264人,"3,110人",39.3歳,"6,060千円"
ＡＬＳＯＫ【2331】,1965年7月16日,2002年10月25日,"12,244人","39,105人",40.5歳,"5,790千円"
ライオン(株)【4912】,1918年9月3日,1949年5月,"3,119人","7,452人",43.7歳,"6,920千円"
(株)ニコン【7731】,1917年7月25日,1949年5月,"4,216人","19,357人",43.4歳,"7,380千円"
(株)ハーモニック・ドライブ・システムズ【6324】,1970年10月27日,1998年3月20日,406人,"1,104人",41.3歳,"6,910千円"
大正製薬ホールディングス(株)【4581】,2011年10月3日,2011年10月3日,70人,"9,254人",45.2歳,"8,660千円"
東北電力(株)【9506】,1951年5月1日,1951年10月,"5,061人","24,717人",43.3歳,"7,750千円"
カシオ計算機(株)【6952】,1957年6月1日,1970年9月,"2,586人","10,404人",46.8歳,"8,030千円"
ペプチドリーム(株)【4587】,2006年7月3日,2013年6月11日,133人,-人,38.2歳,"9,760千円"
名古屋鉄道(株)【9048】,1921年6月13日,1949年5月,"5,301人","29,820人",44.1歳,"5,820千円"
東邦ガス(株)【9533】,1922年6月26日,1949年5月,"2,814人","6,404人",42.6歳,"5,670千円"
イオンリート投資法人【3292】,-,2013年11月22日,-人,-人,-歳,-千円
ＴＯＹＯ　ＴＩＲＥ(株)【5105】,1943年12月4日,1949年5月,"3,725人","11,258人",39.2歳,"5,840千円"
ピジョン(株)【7956】,1957年8月15日,1988年9月9日,373人,"3,886人",42.6歳,"8,080千円"
東海カーボン(株)【5301】,1918年4月8日,1949年5月,775人,"4,242人",41.0歳,"6,690千円"
戸田建設(株)【1860】,1936年7月10日,1969年4月,"4,263人","5,707人",44.5歳,"8,580千円"
(株)オプティム【3694】,2000年6月8日,2014年10月22日,348人,360人,33.7歳,"5,630千円"
(株)ＳＲＡホールディングス【3817】,2006年5月,2006年9月30日,877人,"1,418人",46.1歳,"6,380千円"
(株)マルゼン【5982】,1961年3月20日,1995年10月6日,885人,"1,359人",39.9歳,"5,200千円"
(株)極洋【1301】,1937年9月3日,1949年5月,682人,"2,313人",40.4歳,"6,970千円"
