timeline,Hoya
20 Aug 2021,$55.3B
27 Aug 2021,$56.85B
3 Sep 2021,$60.49B
10 Sep 2021,$61.5B
17 Sep 2021,$61.2B
24 Sep 2021,$61.24B
2 Oct 2021,$55.48B
9 Oct 2021,$54.33B
16 Oct 2021,$55.43B
23 Oct 2021,$55.18B
30 Oct 2021,$53.43B
6 Nov 2021,$57.63B
13 Nov 2021,$57.78B
20 Nov 2021,$60.07B
27 Nov 2021,$58.3B
4 Dec 2021,$58.75B
10 Dec 2021,$58.69B
