timeline,Toyota
29 Jan 2010,$121.07B
26 Feb 2010,$117.5B
31 Mar 2010,$126.49B
30 Apr 2010,$122.18B
31 May 2010,$113.04B
30 Jun 2010,$108.95B
30 Jul 2010,$110.28B
31 Aug 2010,$106.1B
30 Sep 2010,$112.24B
29 Oct 2010,$109.74B
30 Nov 2010,$119.86B
31 Dec 2010,$123.89B
31 Jan 2011,$129.86B
28 Feb 2011,$146.74B
31 Mar 2011,$126.27B
29 Apr 2011,$124.17B
31 May 2011,$131.77B
30 Jun 2011,$128.21B
29 Jul 2011,$127.23B
31 Aug 2011,$111.79B
30 Sep 2011,$109.83B
31 Oct 2011,$109.44B
30 Nov 2011,$100.86B
30 Dec 2011,$103.51B
31 Jan 2012,$115.34B
29 Feb 2012,$130.66B
30 Mar 2012,$136.01B
30 Apr 2012,$130.2B
31 May 2012,$121.78B
29 Jun 2012,$127.29B
31 Jul 2012,$122.42B
31 Aug 2012,$124.77B
28 Sep 2012,$124B
31 Oct 2012,$121.81B
30 Nov 2012,$136.24B
31 Dec 2012,$147.51B
31 Jan 2013,$151.78B
28 Feb 2013,$163.43B
29 Mar 2013,$163.45B
30 Apr 2013,$182.57B
31 May 2013,$188.27B
28 Jun 2013,$192.62B
31 Jul 2013,$192.95B
30 Aug 2013,$191.41B
30 Sep 2013,$203.07B
31 Oct 2013,$204.55B
29 Nov 2013,$197.53B
31 Dec 2013,$193.91B
31 Jan 2014,$182.6B
28 Feb 2014,$181.18B
31 Mar 2014,$179.44B
30 Apr 2014,$170.44B
30 May 2014,$179.48B
30 Jun 2014,$190.15B
31 Jul 2014,$189.09B
29 Aug 2014,$181.16B
30 Sep 2014,$187.43B
31 Oct 2014,$188.76B
28 Nov 2014,$196.9B
31 Dec 2014,$198.99B
30 Jan 2015,$203.32B
27 Feb 2015,$212.43B
31 Mar 2015,$219.76B
30 Apr 2015,$221.03B
29 May 2015,$218.62B
30 Jun 2015,$210.4B
31 Jul 2015,$209.31B
31 Aug 2015,$186.73B
30 Sep 2015,$181.04B
30 Oct 2015,$192.18B
30 Nov 2015,$194.08B
31 Dec 2015,$191.06B
29 Jan 2016,$186.15B
29 Feb 2016,$159.35B
31 Mar 2016,$160.86B
29 Apr 2016,$158.88B
31 May 2016,$158.49B
30 Jun 2016,$147.98B
29 Jul 2016,$169.32B
31 Aug 2016,$182.57B
30 Sep 2016,$171.46B
31 Oct 2016,$194.01B
30 Nov 2016,$197.28B
30 Dec 2016,$197.4B
31 Jan 2017,$173.06B
28 Feb 2017,$168.65B
31 Mar 2017,$160.75B
28 Apr 2017,$161.36B
31 May 2017,$159.19B
30 Jun 2017,$156.48B
31 Jul 2017,$167.84B
31 Aug 2017,$166.46B
29 Sep 2017,$177.44B
31 Oct 2017,$181.52B
30 Nov 2017,$188.01B
29 Dec 2017,$191.03B
31 Jan 2018,$202.11B
28 Feb 2018,$199.07B
30 Mar 2018,$189.48B
30 Apr 2018,$191.62B
31 May 2018,$188.21B
29 Jun 2018,$191.84B
31 Jul 2018,$192.25B
31 Aug 2018,$182.06B
28 Sep 2018,$182.48B
31 Oct 2018,$167.87B
30 Nov 2018,$174.56B
31 Dec 2018,$165.28B
31 Jan 2019,$176.33B
28 Feb 2019,$173.92B
29 Mar 2019,$168.79B
30 Apr 2019,$175.08B
31 May 2019,$168.06B
28 Jun 2019,$178.68B
31 Jul 2019,$184.99B
30 Aug 2019,$186.94B
30 Sep 2019,$186.43B
31 Oct 2019,$193.31B
29 Nov 2019,$197.76B
31 Dec 2019,$196.93B
31 Jan 2020,$198.43B
28 Feb 2020,$183.53B
5 Mar 2020,$183.77B
31 Mar 2020,$166.39B
30 Apr 2020,$172.94B
29 May 2020,$173.55B
5 Jun 2020,$179.09B
25 Jun 2020,$175.58B
2 Jul 2020,$174.59B
14 Jul 2020,$174.48B
24 Jul 2020,$174.19B
31 Jul 2020,$164.26B
10 Aug 2020,$181.52B
14 Aug 2020,$187.66B
20 Aug 2020,$186.7B
2 Sep 2020,$184.06B
10 Sep 2020,$183.04B
16 Sep 2020,$187.39B
30 Sep 2020,$183.41B
8 Oct 2020,$185.57B
15 Oct 2020,$183.87B
30 Oct 2020,$181.92B
12 Nov 2020,$197.2B
20 Nov 2020,$197.97B
30 Nov 2020,$188B
4 Dec 2020,$193.36B
24 Dec 2020,$209.04B
31 Dec 2020,$215.72B
8 Jan 2021,$213.83B
15 Jan 2021,$208.22B
29 Jan 2021,$195.69B
12 Feb 2021,$224.56B
17 Feb 2021,$217.28B
5 Mar 2021,$206.39B
17 Mar 2021,$213.01B
25 Mar 2021,$209.65B
31 Mar 2021,$218.37B
16 Apr 2021,$219.41B
21 Apr 2021,$212.33B
30 Apr 2021,$208.64B
7 May 2021,$214.43B
21 May 2021,$224.53B
28 May 2021,$232.58B
4 Jun 2021,$252.25B
11 Jun 2021,$251.99B
25 Jun 2021,$248.25B
30 Jun 2021,$245.39B
9 Jul 2021,$245.52B
20 Jul 2021,$245.12B
22 Jul 2021,$246.39B
6 Aug 2021,$252.44B
13 Aug 2021,$252.65B
20 Aug 2021,$230.34B
27 Aug 2021,$244.07B
10 Sep 2021,$244.49B
17 Sep 2021,$250.94B
24 Sep 2021,$253.19B
2 Oct 2021,$248.31B
9 Oct 2021,$240.41B
23 Oct 2021,$242.41B
30 Oct 2021,$246.84B
6 Nov 2021,$250.63B
13 Nov 2021,$257.79B
27 Nov 2021,$249.19B
4 Dec 2021,$252.83B
10 Dec 2021,$250.49B
