timeline,Japan Real Estate Investment
29 Jan 2016,$7.37B
29 Feb 2016,$7.86B
31 Mar 2016,$7.51B
29 Apr 2016,$7.78B
31 May 2016,$7.5B
30 Jun 2016,$7.32B
29 Jul 2016,$7.15B
31 Aug 2016,$7.02B
30 Sep 2016,$6.99B
31 Oct 2016,$7.01B
30 Nov 2016,$7.15B
30 Dec 2016,$7.36B
31 Jan 2017,$7.41B
28 Feb 2017,$7.15B
31 Mar 2017,$6.81B
28 Apr 2017,$6.78B
31 May 2017,$6.72B
30 Jun 2017,$6.46B
31 Jul 2017,$6.69B
31 Aug 2017,$6.58B
29 Sep 2017,$6.25B
31 Oct 2017,$6.14B
30 Nov 2017,$6.31B
29 Dec 2017,$6.18B
31 Jan 2018,$6.48B
28 Feb 2018,$6.4B
30 Mar 2018,$6.36B
30 Apr 2018,$6.56B
31 May 2018,$6.59B
29 Jun 2018,$7.16B
31 Jul 2018,$7.15B
31 Aug 2018,$7.22B
28 Sep 2018,$7.28B
31 Oct 2018,$7.11B
30 Nov 2018,$7.66B
31 Dec 2018,$7.53B
31 Jan 2019,$7.8B
28 Feb 2019,$7.88B
29 Mar 2019,$7.98B
30 Apr 2019,$7.54B
31 May 2019,$7.88B
28 Jun 2019,$8.02B
31 Jul 2019,$8.32B
30 Aug 2019,$8.64B
30 Sep 2019,$8.86B
31 Oct 2019,$9B
29 Nov 2019,$9.1B
31 Dec 2019,$8.8B
31 Jan 2020,$9.66B
28 Feb 2020,$8.99B
31 Mar 2020,$7.73B
30 Apr 2020,$7.14B
29 May 2020,$7.18B
30 Jun 2020,$6.76B
31 Jul 2020,$6.6B
7 Aug 2020,$6.73B
31 Aug 2020,$7.26B
25 Sep 2020,$6.85B
30 Sep 2020,$6.57B
9 Oct 2020,$6.54B
30 Oct 2020,$6.26B
13 Nov 2020,$6.55B
20 Nov 2020,$6.4B
27 Nov 2020,$6.51B
30 Nov 2020,$6.62B
11 Dec 2020,$6.79B
18 Dec 2020,$6.85B
31 Dec 2020,$7.28B
8 Jan 2021,$7.15B
18 Jan 2021,$7.26B
22 Jan 2021,$7.44B
29 Jan 2021,$7.78B
5 Feb 2021,$7.64B
26 Feb 2021,$7.93B
12 Mar 2021,$8.3B
18 Mar 2021,$8.21B
24 Mar 2021,$8B
30 Mar 2021,$8.16B
31 Mar 2021,$7.98B
9 Apr 2021,$8.08B
22 Apr 2021,$8.3B
30 Apr 2021,$8.28B
6 May 2021,$8.44B
12 May 2021,$8.16B
18 May 2021,$8.15B
24 May 2021,$8.16B
31 May 2021,$8.06B
11 Jun 2021,$8.33B
30 Jun 2021,$8.35B
12 Jul 2021,$8.58B
16 Jul 2021,$8.52B
30 Jul 2021,$8.7B
6 Aug 2021,$8.67B
13 Aug 2021,$8.57B
20 Aug 2021,$8.45B
27 Aug 2021,$8.61B
3 Sep 2021,$8.63B
10 Sep 2021,$8.7B
17 Sep 2021,$8.64B
24 Sep 2021,$8.53B
2 Oct 2021,$8.13B
9 Oct 2021,$8.2B
16 Oct 2021,$8.45B
23 Oct 2021,$8.49B
30 Oct 2021,$8.51B
6 Nov 2021,$8.54B
13 Nov 2021,$8.18B
20 Nov 2021,$8.24B
27 Nov 2021,$8.19B
10 Dec 2021,$8.22B
